Month,Week,ManagedObjectid,Usage,MeterType
May,1,22723783,0,Integrated
,,,,
May,1,71786759,3000,Integrated
,,,,
May,1,29531185,2000,Integrated
,,,,
May,1,22723232,1000,Integrated
,,,,
May,1,71786557,2000,Integrated
,,,,
May,1,22723043,3000,Integrated
,,,,
May,1,22722904,1000,Integrated
,,,,
May,1,71786581,3000,Integrated
,,,,
May,1,77759527,3000,Integrated
,,,,
May,1,71786719,3000,Integrated
,,,,
May,1,22723035,1000,Integrated
,,,,
May,1,29531077,2000,Integrated
,,,,
May,1,22723128,9000,Integrated
,,,,
May,1,22723433,0,Integrated
,,,,
May,1,22723038,1000,Integrated
,,,,
May,1,22723190,1000,Integrated
,,,,
May,1,71786535,0,Integrated
,,,,
May,1,22723628,2000,Integrated
,,,,
May,1,71778982,2000,Integrated
,,,,
May,1,71786521,2000,Integrated
,,,,
May,1,22722639,0,Integrated
,,,,
May,1,22722905,5000,Integrated
,,,,
May,1,29531014,2000,Integrated
,,,,
May,1,29531181,6000,Integrated
,,,,
May,1,22723417,1000,Integrated
,,,,
May,1,22724080,1000,Integrated
,,,,
May,1,22723188,1000,Integrated
,,,,
May,1,22723499,2000,Integrated
,,,,
May,1,22722685,4000,Integrated
,,,,
May,1,22722637,2000,Integrated
,,,,
May,1,22723172,3000,Integrated
,,,,
May,1,22723386,10000,Integrated
,,,,
May,1,22724234,-1,Integrated
,,,,
May,1,22724221,3000,Integrated
,,,,
May,1,71786679,5000,Integrated
,,,,
May,1,29531166,4000,Integrated
,,,,
May,1,22724011,0,Integrated
,,,,
May,1,22723532,3000,Integrated
,,,,
May,1,71786602,7000,Integrated
,,,,
May,1,22722658,2000,Integrated
,,,,
May,1,22723693,4000,Integrated
,,,,
May,1,71786553,0,Integrated
,,,,
May,1,22723668,3000,Integrated
,,,,
May,1,22724205,2000,Integrated
,,,,
May,1,29531142,14000,Integrated
,,,,
May,1,22723031,2000,Integrated
,,,,
May,1,29531167,2000,Integrated
,,,,
May,1,22723466,1000,Integrated
,,,,
May,1,22723515,1000,Integrated
,,,,
May,1,22723597,0,Integrated
,,,,
May,1,22723635,3000,Integrated
,,,,
May,1,71786814,1000,Integrated
,,,,
May,1,22673032,2000,Integrated
,,,,
May,1,77759525,1000,Integrated
,,,,
May,1,22722972,3000,Integrated
,,,,
May,1,22723955,3000,Integrated
,,,,
May,1,71778983,2000,Integrated
,,,,
May,1,22723542,2000,Integrated
,,,,
May,1,29531193,1000,Integrated
,,,,
May,1,22723456,2000,Integrated
,,,,
May,1,22723208,1000,Integrated
,,,,
May,1,22724185,16000,Integrated
,,,,
May,1,22723369,4000,Integrated
,,,,
May,1,22723997,4000,Integrated
,,,,
May,1,22723616,1000,Integrated
,,,,
May,1,22723092,2000,Integrated
,,,,
May,1,22723290,2000,Integrated
,,,,
May,1,29531168,2000,Integrated
,,,,
May,1,22724000,0,Integrated
,,,,
May,1,22722945,2000,Integrated
,,,,
May,1,22724022,0,Integrated
,,,,
May,1,22723385,0,Integrated
,,,,
May,1,22723911,3000,Integrated
,,,,
May,1,29531123,3000,Integrated
,,,,
May,1,71786516,2000,Integrated
,,,,
May,1,22723308,4000,Integrated
,,,,
May,1,29531072,2000,Integrated
,,,,
May,1,22724008,2000,Integrated
,,,,
May,1,22723453,3000,Integrated
,,,,
May,1,22723087,3000,Integrated
,,,,
May,1,22723540,2000,Integrated
,,,,
May,1,22723751,1000,Integrated
,,,,
May,1,22724274,3000,Integrated
,,,,
May,1,22723399,2000,Integrated
,,,,
May,1,22723252,5000,Integrated
,,,,
May,1,71786675,3000,Integrated
,,,,
May,1,29531116,2000,Integrated
,,,,
May,1,22722924,2000,Integrated
,,,,
May,1,22723659,1000,Integrated
,,,,
May,1,22723527,3000,Integrated
,,,,
May,1,22540241,2000,Integrated
,,,,
May,1,71786531,3000,Integrated
,,,,
May,1,22723218,2000,Integrated
,,,,
May,1,22723660,2000,Integrated
,,,,
May,1,22723091,3000,Integrated
,,,,
