Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
24530,SEDAN (SANDLETON),SA,577.9,801.3,5.3,114,-34.46,139.36,78
19114,MINBURRA,SA,577.4,693.3,-1.0,5,-32.43,138.89,332
12239,BULGA DOWNS,WA,576.0,698.5,20.9,92,-28.50,119.74,439
7600,MOUNT MAGNET AERO,WA,573.4,742.1,9.5,22,-28.12,117.84,407
7103,NEDS CREEK,WA,572.8,692.7,26.1,70,-25.48,119.65,600
15635,YULARA AIRPORT,NT,571.4,844.2,23.1,27,-25.19,130.97,492
47056,BROKEN HILL (LANGWELL),NSW,565.6,622.7,-1.0,11,-32.42,141.55,124
17126,MARREE AERO,SA,563.0,423.4,81.0,22,-29.66,138.07,50
24048,RENMARK AERO,SA,563.0,695.1,20.8,25,-34.20,140.68,32
16090,COOBER PEDY AIRPORT,SA,550.8,423.4,87.5,25,-29.03,134.72,225
20062,YUNTA AIRSTRIP,SA,548.0,577.2,-1.0,19,-32.57,139.56,300
46137,BOULLIA,NSW,546.2,361.1,-1.0,3,-30.07,141.88,100
20022,STURT VALE,SA,537.2,614.8,36.1,37,-33.25,140.03,110
16047,TODMORDEN,SA,534.6,546.6,51.6,65,-27.14,134.76,200
47109,INKERMAN,NSW,534.2,421.3,-1.0,3,-31.98,142.15,120
12029,FRASER RANGE,WA,527.5,908.4,0.0,83,-32.03,122.80,460
46143,PACKSADDLE (WESTWOOD DOWNS),NSW,509.4,315.5,-1.0,3,-30.50,141.33,68
46142,SMITHVILLE AWS,NSW,508.0,309.1,-1.0,3,-30.07,141.01,94
38009,GLENGYLE,QLD,503.8,534.3,55.2,68,-24.79,139.59,72
16098,TARCOOLA AERO,SA,496.6,528.2,38.1,22,-30.71,134.58,123
13044,WILUNA AERO,WA,495.4,469.9,-1.0,2,-26.63,120.22,502
7045,MEEKATHARRA AIRPORT,WA,489.4,705.5,7.1,71,-26.61,118.54,517
18110,COOK,SA,464.3,536.3,31.3,81,-30.61,130.41,120
12027,EDJUDINA,WA,460.0,638.4,20.8,78,-29.81,122.35,460
12314,LEINSTER AERO,WA,459.4,749.9,4.8,22,-27.84,120.70,497
16065,ANDAMOOKA,SA,458.4,565.2,24.1,55,-30.45,137.17,76
17043,OODNADATTA AIRPORT,SA,446.8,520.2,38.2,69,-27.56,135.45,117
7001,BEEBYN,WA,444.3,584.7,26.3,39,-26.97,117.90,478
11052,FORREST,WA,441.2,658.9,4.8,22,-30.85,128.11,159
38026,BIRDSVILLE AIRPORT,QLD,438.4,368.6,-1.0,15,-25.90,139.35,47
47111,WENTWORTH (NULLA),NSW,436.0,357.3,-1.0,3,-33.82,141.36,55
16096,ROXBY DOWNS (OLYMPIC DAM AERODROME),SA,433.0,422.8,-1.0,19,-30.49,136.87,99
12241,LEONORA AERO,WA,409.0,758.8,-1.0,13,-28.88,121.32,370
33310,SOUTH YAAMBA TM,QLD,405.4,2244.4,-1.0,10,-23.20,150.40,10
12305,LAVERTON AERO,WA,346.0,839.3,0.0,26,-28.61,122.42,464
